"You have chosen to pay for the order online. Once you've completed your order, you will be transferred to the ePay payment system. Here you need to process your payment. Once payment is completed, you will automatically be returned to our shop.","Du har valgt å betale for ordren online. Rett etter at du har gjennomført din ordre vil du bli overført til ePays betalingssystem. Her skal du gjennomføre betalingen din. Når betalingen er gjennomført, vil du automatisk bli sendt tilbake til vår forretning."
"Payment","Betaling"
"Order number","Ordrenummer"
"Amount","Beløp"
"Payment system transaction information","ePay betalingsinformasjoner"
"Transaction ID:","Transaksjons ID:"
"Amount:","Beløp:"
"Currency code:","Valuta kode:"
"Transaction date:","Betalingsdato:"
"MD5 key:","MD5 nøkkel:"
"Fraud control:","Svindelkontroll:"
"Subscription ID:","Abonnements ID:"
"Card type:","Korttype:"
"Transaction fee:","Transaksjonsgebyr:"
"There is not registered any payment for this order yet!","Det er ikke registrert noen betaling for denne ordre enda!"
"Go to payment system administration and process the transaction","Gå til ePay administrasjonen og behandle betalingen"
"This creditcard has been used %s time(s) the past 24 hours","Dette kortet har blitt brukt %s gange(r) de siste 24 timer"
"The order is now placed and payment must now be made by ePay online payment system (www.epay.eu)","Ordren er nå opprettet og betalingen skal nå skje gjennom ePay / Payment Solutions (ww.epay.dk)"
"To complete your order, you must now pay online. This is done through ePay online payment system (www.epay.eu).","For å ferdiggjøre bestillingen din skal du nå betale for din ordre. Dette skjer gjennom ePay / Payment Solutions."
"If the Standard Payment Window does not open up automatically, click the button to activate the.","Hvis Standard Betalingsvinduet ikke åpnes automatisk, klikk på knappen for å aktivere det."
"Open the payment window","Åpne betalingsvinduet"
"Transaction fee","Transaksjonsgebyr"
"Deleted","Slettet"
"Captured","Hevet"
"New","Ny"
"Unknown","Ukjent"
"Current payment system transaction status","Aktuell transaction status"
"Transaction status","Transaksjons status"
"Deleted date","Dato slettet"
"Acquirer","Innløser"
"Splitpayment","Split payment"
"3D Secure","3D Secure"
"Yes","Ja"
"No","Nei "
"Description","Beskrivelse"
"Cardholder","Korteier"
"Auth amount","Beløp autorisert"
"Captured amount","Beløp hevet"
"Credited amount","Beløp kreditert"
"An error occured in the communication to the payment system","En feil (%s) oppstod i kommunikasjonen med betalingssystemet"
"History","Historikk"
"Cancel payment","Avbryt betaling"
"Card number:","Kortnummer"
