"You have chosen to pay for the order online. Once you've completed your order, you will be transferred to the ePay payment system. Here you need to process your payment. Once payment is completed, you will automatically be returned to our shop.","Sie haben sich dafür entschieden, den Auftrag online zu bezahlen. Sobald Sie ihren Auftrag abgewickelt haben, werden Sie an ePays Zahlungssystem weitergeleitet. Hier wird Ihre Zahlung durchgeführt. Wenn die Zahlung durchgeführt ist, werden Sie automatisch zu unserem Geschäft zurückgeleitet werden."
"Payment","Zahlung"
"Order number","Auftragsnummer:"
"Amount","Betrag:"
"Payment system transaction information","ePay Zahlungsinformationen"
"Transaction ID","Transaktions ID"
"Currency code","Währungscode"
"Transaction date","Zahlungsdatum"
"MD5 key","MD5 Schlüssel"
"Fraud control","Schwindelkontrolle"
"Subscription ID","Abonnement ID"
"Card type","Kartentyp"
"Transaction fee","Transaktionsgebühr"
"There is not registered any payment for this order yet!","Noch ist keine Zahlung für diesen Auftrag registriert worden!"
"Go to payment system administration and process the transaction","Gehen Sie zur ePay Administration und bearbeiten Sie die Zahlung"
"This creditcard has been used %s time(s) the past 24 hours","Diese Karte wurde %s Mal(e) die letzten 24 Stunden"
"The order is now placed and payment must now be made by ePay online payment system (www.epay.eu)","Der Auftrag ist jetzt erstellt und die Zahlung soll nun durch ePay / Payment Solutions erfolgen (www.epay.dk)"
"To complete your order, you must now pay online. This is done through ePay online payment system (www.epay.eu).","Um Ihren Auftrag fertigzustellen müssen Sie nun für Ihren Auftrag bezahlen. Dies erfolgt durch ePay / Payment Solutions."
"If the Standard Payment Window does not open up automatically, click the button to activate the.","Wenn das Standard Zahlungsfenster nicht automatisch geöffnet wird, den Knopf anklicken um es zu aktivieren."
"Open the payment window","Das Zahlungsfenster öffnen"
"Transaction fee","Transaktionsgebühr"
"Deleted","Gelöscht"
"Captured","Abgehoben"
"New","Neu"
"Unknown","Unbekannt"
"Current payment system transaction status","Aktueller transaction status"
"Transaction status","Transaktion Status"
"Deleted date","Datum gelöscht"
"Acquirer","Die Bank, die die Geldüberweisung  vom Konto des Kunden auf Ihr Konto verwaltet.  "
"Splitpayment","Split payment"
"3D Secure","3D Secure"
"Yes","Ja"
"No","Nein"
"Description","Beschreibung"
"Cardholder","Kartenbesitzer"
"Auth amount","Betrag autorisiert"
"Captured amount","Betrag abgehoben"
"Credited amount","Betrag kreditiert"
"An error occured in the communication to the payment system","In der Kommunikation mit dem Zahlungssystem entstand ein Fehler (%s)"
"History","Historik"
"Cancel payment","Zahlung abbrechen"
"Card number","Kartennummer"
